pH,Temp,OD,Cond,Redox,Mang,Color,Turb,TOC
7.5,20.6,8.2,47.2,124.5,0.01,9,2,2.304
7,19,6.5,59,153.9,0.03,15,5,1.923
7.1,18.3,7.2,62.4,155.8,0.083,17,6,1.842
6.8,18.8,5.4,45.2,108.2,0.076,9,3,1.947
7,20.2,6.9,44.5,108.2,0.028,9,4,1.917
7.4,19.83,7.9,54.2,92,0.034,10,5,1.908
7.8,20.47,7.8,47.8,148.8,0.01,17,1,2.025
7,22.3,7.8,49.6,93.4,0.01,17,4,1.937
6.4,19.5,4.7,64.6,116.6,0.041,18,5,1.8376
6.5,18.8,2.3,47.3,147.4,0.055,20,5,1.8123
6.6,19.5,5,45.2,57.1,0.097,17,3,1.7834
7,21.2,7.2,44.8,165.5,0.012,16,3,1.9005
7,21.87,7.7,54.8,188.3,0.011,14,6,1.8566
7.5,22.27,7.8,44.5,171.3,0.004,10,4,1.9137
6.7,20,7.9,49.7,132,0.01,20,16,2.2897
6.6,18.7,6.8,54.6,139.7,0.01,33,29,2.2841
6.4,18.2,6.8,59.3,147,0.01,10,30,2.3104
6.2,18.5,4.1,51.7,122.7,0.093,12,7,2.2201
6.8,19.8,7.3,44.5,160,0.01,13,9,2.3225
6.9,20.2,7.8,53.1,142.7,0.01,8,12,2.2271
6.8,20.43,7.8,48.1,165.2,0.01,7,4,2.222
6.2,19.5,7.5,46.6,255.5,0.01,15,9,1.8534
6.1,17.6,4.8,50.2,272.4,0.01,17,17,1.8637
6.2,17.7,5.9,53.5,267.9,0.013,14,26,1.7531
5.9,18.5,4.5,52.3,191.2,0.024,12,34,2.1634
6.3,19.73,6.7,41.7,275.1,0.01,13,13,1.8099
6.5,19.5,7.4,49.7,261,0.008,11,8,1.7342
6.4,20.57,6.4,49,273.5,0.023,12,5,1.8753
6.6,19.7,7.5,52.3,229.8,0.01,10,4,1.3871
6.4,18.4,6.9,57.6,226.3,0.01,11,12,1.4769
6.4,18.2,6.7,57.4,222.8,0.014,12,23,1.5596
6.2,18.6,3.9,52.7,118.6,0.039,7,8,1.6815
6.4,19.63,7.5,45.6,241.5,0.01,9,4,1.5153
6.8,20.17,7.6,51.1,242.5,0.008,12,3,1.4077
6.5,19.85,7.4,50,252,0.01,13,2,1.428
