,PM,Profuidad,Zona fótica,pH,Temperatura ,OD,OD%,Conductividad,Redox,Fósforo Total,Nitratos,N. amonical ,Mang,Color,Turbiedad,N total,TOC,"UV 
(cm1)",SUVA,Clorofila,Feopigmentos,Algas,Cianobacterias totales,F N,CL N,NO2 N,NO3 N,SO4 N,NH4+ N,K N,NT N,NT Orgánico N
272,Descarga Bombeo,0.72,1.95,10.1,19.87,9.9,141.1,58.1,131.06841046277668,10.0,18.962,30.233,0.01,18.0,8,0.3,2.4592,0.079,3.2,77.6,9.89,19105,333,0.011,3.624,0.009,0.084,2.559,0.06,1.349,0.3,0.278
273,Torre Superficial,2.0,5.41,7.1,21.17,8.1,117.33,55.2,149.9,20.0,170.655,30.233,0.018,4.0,1,0.018,2.0229,0.067,3.3128544423440456,15.4,5.75,393,333,0.033,3.909,0.028,0.756,2.766,0.06,1.258,0.58,0.401
274,Torre Media,2.0,5.41,6.6,19.83,6.4,90.03,54.1,166.1,20.0,209.932,60.465,0.013,11.0,4,1.049,2.2431,0.076,3.4,4.74,1.48,210,133,0.029,4.178,0.034,0.93,2.921,0.078,1.239,1.049,0.768
275,Torre Profua,2.0,5.41,6.7,19.45,4.7,65.8,56.4,159.6,50.0,183.747,157.364,0.012,15.0,4,0.727,2.0805,0.078,3.7,9.48,4.98,49,33,0.028,4.344,0.037,0.814,2.957,0.203,1.293,0.727,0.374
276,Presa,2.15,5.82,6.3,19.84,5.4,77.57,56.9,50.0,60.0,136.117,294.574,0.17,13.0,5,0.796,2.4727,0.135,5.5,5.92,0.12,153,333,0.033,3.192,0.024,0.603,1.932,0.38,1.453,0.796,0.357
277,Potreros,2.11,5.71,7.4,21.4,7.9,114.8,53.9,165.3,30.0,165.237,35.659,0.01,13.0,5,0.545,2.1899,0.077,3.5,16.59,4.98,250,333,0.036,3.96,0.003,0.732,2.782,0.046,1.223,0.545,0.343
278,PalmasEsp.Santo,1.8,4.87,7.3,21.63,7.9,115.8,60.1,155.5,30.0,167.269,25.581,0.009,12.0,4,0.581,2.1542,0.078,3.6,11.85,4.32,230,333,0.031,4.915,0.024259911894273126,0.741,3.312,0.033,1.317,0.581,0.388
279,Descarga Bombeo,2.0,5.41,7.5,20.77,8.0,115.3,50.2,168.7,100.0,183.973,75.194,0.011,13.0,6,0.655,2.1868,0.074,3.4,42.06,4.8,248,333,0.034,3.299,0.027,0.815,2.39,0.097,1.246,0.655,0.387
280,Torre Superficial,1.55,4.19,9.1,21.53,10.4,150.4,57.4,111.6,40.0,172.009,24.031,0.012,9.0,6,0.455,2.7203,0.077,2.8,23.69,6.57,3707,1333,0.039,4.076,0.027,0.762,3.087,0.031,1.195,0.455,0.25
281,Torre Media,1.55,4.19,7.8,20.33,7.7,109.4,61.4,144.0,30.0,245.598,39.535,0.016,10.0,5,0.55,2.8076,0.083,2.9,17.18,4.8,1647,1500,0.036,5.431,0.034,1.088,3.927,0.051,1.226,0.55,0.255
282,Torre Profua,1.55,4.19,7.3,20.0,5.4,77.85,69.5,151.1,30.0,255.305,78.295,0.029,12.0,4,0.595,2.3441,0.076,3.2,8.89,1.9,405,366,0.033,5.94,0.037,1.131,4.256,0.101,1.269,0.595,0.25
283,Presa,1.62,4.38,6.9,20.0,7.7,84.74,64.7,19.0,50.0,166.366,293.023,0.14,14.0,6,0.662,2.8035,0.221,7.9,19.55,3.67,3658,666,0.041,3.445,0.022,0.737,2.337,0.378,1.17,0.662,0.195
284,Potreros,1.4,3.79,8.8,21.83,9.4,136.63,56.7,128.4,80.0,172.912,36.434,0.028,12.0,7,0.507,2.746,0.081,3.0,21.32,3.55,4737,666,0.062,4.104,0.026,0.766,2.994,0.047,1.2,0.507,0.29
285,PalmasEsp.Santo,1.4,3.79,8.8,21.67,9.7,142.5,65.5,112.5,30.0,167.269,20.155,0.024,15.0,8,0.46,2.7553,0.083,3.0,7.11,6.16,3952,666,0.036,5.29,0.033,0.741,3.818,0.026,1.186,0.46,0.263
286,Descarga Bombeo,1.46,3.95,9.0,21.2,9.7,140.95,54.6,126.8,30.0,176.749,37.984,0.012,8.0,5,0.49,2.6272,0.071,2.7,17.18,3.55,3601,666,0.04,3.85,0.025,0.783,2.964,0.049,1.26,0.49,0.268
287,Torre Superficial,1.4,3.79,7.7,22.07,8.0,118.3,57.6,111.6,30.0,123.928,30.233,0.003,9.0,5,0.0,2.7959,0.065,2.3,10.66,4.68,5653,655,0.107,5.321,0.038,0.549,3.541,0.06,0.951,0.3834052419354839,0.22347852760736198
288,Torre Media,1.4,3.79,7.2,20.5,6.7,95.5,62.4,138.6,10.0,181.49,56.589,0.009,12.0,5,0.0,2.6669,0.067,2.5,11.85,4.74,3297,366,0.03,5.916,0.041,0.804,3.858,0.073,1.35,0.3834052419354839,0.22347852760736198
289,Torre Profua,1.4,3.79,7.2,19.75,4.3,65.5,68.7,152.1,30.0,170.88,78.295,0.037,13.0,6,0.0,2.7792,0.07,2.5,4.74,1.48,1849,366,0.034,7.057,0.048,0.757,4.489,0.101,1.418,0.3834052419354839,0.22347852760736198
290,Presa,1.35,3.65,6.9,20.04,5.0,71.32,57.8,45.7,60.0,93.228,295.349,0.186,37.0,5,0.0,2.3639,0.089,3.8,13.62,2.55,3272,633,0.03,3.658,0.026,0.413,2.154,0.381,1.249,0.3834052419354839,0.22347852760736198
291,Potreros,1.3,3.52,7.9,22.6,8.2,121.53,53.8,187.7,40.0,125.282,65.891,0.022,10.0,6,0.0,2.7822,0.054,1.9,9.48,7.11,6472,366,0.028,4.499,0.032,0.555,2.966,0.085,1.258,0.3834052419354839,0.22347852760736198
292,PalmasEsp.Santo,1.2,3.25,7.7,22.23,7.9,117.2,68.8,163.7,50.0,175.395,30.233,0.058,1.0,11,0.0,2.1063,0.015,0.7,3.55,11.37,6077,366,0.044,3.365892921960073,0.024259911894273126,0.777,2.35,0.06,1.382,0.3834052419354839,0.22347852760736198
293,Descarga Bombeo,1.32,3.57,8.5,22.27,8.5,127.53,52.4,184.6,50.0,137.923,40.31,0.008,7.0,5,0.0,2.5902,0.067,2.6,9.48,5.03,5838,366,0.037,4.418,0.032,0.611,2.92,0.052,1.24,0.3834052419354839,0.22347852760736198
294,Torre Superficial,1.96,5.3,7.0,21.0,8.0,114.97,49.6,185.2,90.0,205.418,113.953,0.02,24.0,7,0.0,2.6441,0.102,3.9,26.06,3.79,15,3733,0.038,2.824,0.024259911894273126,0.91,2.129,0.147,1.457,0.3834052419354839,0.22347852760736198
295,Torre Media,1.96,5.3,6.5,18.8,5.0,68.63,52.5,197.1,30.0,213.77,132.558,0.027,16.0,7,0.0,2.6311,0.107,4.1,21.32,4.8,10,333,0.02,5.92,0.024259911894273126,0.947,2.522,0.171,1.493,0.3834052419354839,0.22347852760736198
296,Torre Profua,1.96,5.3,6.7,18.57,6.1,84.47,66.4,196.0,60.0,279.007,77.519,0.035,12.0,15,0.0,2.5558,0.107,4.2,3.55,3.08,5,33,0.022,4.127,0.024259911894273126,1.236,3.308,0.1,1.449,0.3834052419354839,0.22347852760736198
297,Presa,2.03,5.49,6.5,19.2,5.4,74.93,57.8,161.4,40.0,219.413,117.054,0.032,19.0,13,0.0,2.6267,0.114,4.4,7.11,3.26,5,333,0.026,3.171,0.008,0.972,2.428,0.151,1.425,0.3834052419354839,0.22347852760736198
298,Potreros,2.53,6.84,6.9,20.4,7.4,105.73,49.3,205.9,10.0,196.163,98.45,0.02,18.0,5,0.0,2.5094,0.097,3.9,10.66,1.78,5,333,0.024,2.809,0.024259911894273126,0.869,2.07,0.127,1.334,0.3834052419354839,0.22347852760736198
299,PalmasEsp.Santo,1.54,4.17,7.3,21.0,8.1,116.7,53.6,188.3,40.0,224.379,30.233,0.015,18.0,9,0.0,2.5837,0.099,3.8,7.7,6.4,10,333,0.028,3.098,0.024259911894273126,0.994,2.419,0.06,1.367,0.3834052419354839,0.22347852760736198
300,Descarga Bombeo,1.98,5.36,7.0,20.53,8.0,113.57,48.9,216.5,80.0,223.928,30.233,0.018,13.0,8,0.0,4.6821,0.104,2.2,9.48,1.72,5,3400,0.031,3.28,0.008,0.992,2.669,0.06,1.487,0.3834052419354839,0.22347852760736198
301,Torre Superficial,1.5,4.06,8.3,20.73,9.2,132.13,47.6,175.6,50.0,195.485,3.101,0.008,16.0,9,0.393,5.3534,0.097,1.8,15.99,11.79,15,2778,0.021,2.728,0.048,0.866,3.467,0.004,1.082,0.393,0.18
302,Torre Media,1.5,4.06,6.7,18.8,6.3,87.77,54.2,207.4,40.0,229.797,30.233,0.013,9.0,4,0.551,2.5735,0.096,3.7,5.33,7.11,12,233,0.024,4.212,0.039,1.018,2.553,0.06,1.179,0.551,0.309
303,Torre Profua,1.5,4.06,7.0,18.37,5.7,79.3,70.6,203.8,50.0,254.628,30.233,0.031,9.0,5,0.489,2.2436,0.091,4.1,0.65,5.21,5,33,0.022,5.323,0.032,1.128,3.088,0.06,1.095,0.489,0.225
304,Presa,1.2,3.25,6.9,19.06,5.7,80.29,52.9,144.9,40.0,253.047,10.078,0.043,14.0,7,0.503,2.6865,0.107,4.0,7.7,18.84,85,6400,0.021,2.898,0.023,1.121,1.809,0.013,1.393,0.503,0.232
305,Potreros,0.8,2.16,8.4,21.27,9.0,131.0,47.0,193.6,40.0,98.646,30.233,0.009,9.0,19,0.236,2.8452,0.102,3.6,6.52,34.53,5,3533,0.021,2.777,0.026,0.437,1.773,0.06,1.087,0.236,0.13
306,PalmasEsp.Santo,1.5,4.06,8.4,21.1,8.9,128.8,48.2,183.0,30.0,102.935,1.55,0.006,5.0,14,0.256,3.0093,0.103,3.4,4.15,17.0,5,6867,0.026,2.804,0.023,0.456,1.769,0.002,1.134,0.256,0.144
307,Descarga Bombeo,1.67,4.52,7.5,19.3,7.8,109.57,45.1,213.0,30.0,202.257,5.426,0.01,4.0,9,0.378,2.5745,0.095,3.7,2.37,18.78,15,3200,0.022,2.564,0.026,0.896,1.63,0.007,1.013,0.378,0.162
308,Torre Superficial,0.43,1.16,9.1,20.73,10.2,145.97,57.5,176.1,70.0,13.093,30.233,0.006,15.0,44,0.119,2.1317,0.055,2.6,45.25,9.46,38,32450,0.048,2.739,0.024259911894273126,0.058,1.831,0.06,0.939,0.119,0.106
309,Torre Media,0.43,1.16,7.2,19.0,6.4,89.23,49.8,194.0,50.0,152.596,30.233,0.01,15.0,13,0.411,2.1468,0.058,2.7,12.44,3.32,22,2542,0.028,3.057,0.024259911894273126,0.676,2.014,0.06,1.051,0.411,0.258
310,Torre Profua,0.43,1.16,7.7,18.57,5.2,72.17,61.9,204.8,70.0,221.445,1.55,0.012,14.0,9,0.409,2.1111,0.062,3.0,1.78,2.37,7,833,0.01,4.49,0.024259911894273126,0.981,2.819,0.002,1.069,0.409,0.185
311,Presa,0.45,1.22,6.9,19.11,6.3,88.66,51.2,219.4,60.0,159.368,30.233,0.031,20.0,21,0.311,2.1975,0.064,2.9,21.32,4.8,5,12400,0.04,3.173,0.024259911894273126,0.706,1.771,0.06,1.37,0.311,0.151
312,Potreros,0.5,1.35,7.9,21.25,10.9,158.45,58.3,153.8,100.0,10.158,30.233,0.005,13.0,46,0.254,2.5669,0.068,2.6,25.44,6.36,60,33600,0.062,2.757,0.024259911894273126,0.045,1.771,0.06,0.953,0.254,0.243
313,PalmasEsp.Santo,0.5,1.35,9.4,21.55,10.4,152.25,56.4,147.7,100.0,11.061,30.233,0.011,17.0,48,0.196,2.6158,0.067,2.6,47.2,8.51,100,27494,0.049,2.784,0.024259911894273126,0.049,1.827,0.06,0.888,0.196,0.184
314,Descarga Bombeo,0.45,1.22,9.5,20.95,10.8,156.8,57.5,152.7,120.0,6.546,30.233,0.011,17.0,66,0.195,2.6056,0.067,2.6,69.11,14.68,15,49794,0.048,2.545,0.024259911894273126,0.029,1.68,0.06,0.932,0.195,0.189
315,Torre Superficial,0.4,1.08,9.3,22.7,9.6,143.57,61.7,99.8,80.0,16.027,30.233,0.013,8.0,42,0.219,2.6062,0.068,2.6,68.75,13.43,17,23956,0.048,3.14,0.024259911894273126,0.071,2.487,0.06,1.08,0.219,0.203
316,Torre Media,0.4,1.08,6.7,20.1,4.1,57.43,58.0,157.7,40.0,170.203,30.233,0.013,5.0,9,0.511,2.3693,0.058,2.4,4.74,3.14,5,1178,0.021,4.087,0.024259911894273126,0.754,3.052,0.06,1.19,0.511,0.34
317,Torre Profua,0.4,1.08,7.1,19.45,2.4,33.4,53.3,163.2,20.0,303.386,30.233,0.055,7.0,10,0.508,2.0661,0.061,3.0,9.48,2.07,5,333,0.02,3.33,0.024259911894273126,1.344,2.59,0.06,1.14,0.508,0.205
318,Presa,0.54,1.46,7.0,19.49,4.9,70.51,51.5,58.2,40.0,110.158,49.612,0.088,7.0,16,0.323,2.0754,0.065,3.1,11.85,3.91,5,38000,0.022,2.678,0.024259911894273126,0.488,2.206,0.064,1.123,0.323,0.163
319,Potreros,0.45,1.22,9.6,23.95,9.8,149.75,67.3,93.8,90.0,154.402,51.163,0.013,5.0,53,0.288,2.8412,0.066,2.3,64.87,14.1,5,54100,0.055,3.187,0.024259911894273126,0.684,2.577,0.066,1.32,0.288,0.082
320,PalmasEsp.Santo,0.4,1.08,9.5,22.5,10.4,155.25,67.2,97.9,80.0,7.675,30.233,0.011,6.0,49,0.275,3.1828,0.069,2.2,77.0,11.11,175,56000,0.066,3.579,0.024259911894273126,0.034,2.687,0.06,1.128,0.275,0.267
321,Descarga Bombeo,0.45,1.22,9.4,22.7,9.2,138.55,58.1,104.0,70.0,6.998,30.233,0.01,8.0,34,0.21,3.5593,0.079,2.2,34.46,8.51,5,43000,0.015,2.641,0.024259911894273126,0.031,2.18,0.06,1.049,0.21,0.203
322,Torre Superficial,0.58,1.57,9.2,21.93,9.3,137.83,60.4,130.9,60.0,3.837,30.233,0.011,13.0,25,0.271,2.4664,0.079,3.2,35.41,6.05,10,17167,0.022,3.517,0.024259911894273126,0.017,2.697,0.06,1.082,0.271,0.267
323,Torre Media,0.58,1.57,7.5,20.13,5.7,81.97,57.2,174.3,40.0,97.968,30.233,0.011,11.0,9,0.488,2.466,0.076,3.1,5.33,2.96,5,1367,0.021,4.236,0.012,0.434,3.128,0.06,1.141,0.488,0.386
324,Torre Profua,0.58,1.57,7.6,19.7,3.7,53.1,50.8,172.3,40.0,153.95,30.233,0.021,7.0,10,0.591,2.0332,0.061,3.0,9.48,3.32,5,511,0.021,3.148,0.021,0.682,2.432,0.06,1.194,0.591,0.431
325,Presa,0.43,1.16,7.7,20.18,5.8,83.65,60.0,48.0,60.0,38.826,30.233,0.111,20.0,20,0.43,2.3627,0.111,4.7,33.19,4.51,5,35700,0.021,3.126,0.009,0.172,2.313,0.06,1.265,0.43,0.389
326,Potreros,0.45,1.22,9.6,23.5,9.3,145.45,65.7,127.0,80.0,6.546,30.233,0.015,8.0,38,0.251,2.6964,0.083,3.1,57.08,9.26,5,45000,0.024,3.544,0.024259911894273126,0.029,2.625,0.06,1.099,0.251,0.244
327,PalmasEsp.Santo,0.45,1.22,9.4,23.45,9.7,147.05,79.9,123.7,80.0,1.58,30.233,0.012,13.0,33,0.252,2.5427,0.086,3.4,60.37,9.0,5,41000,0.022,6.729,0.024259911894273126,0.007,4.53,0.06,1.135,0.252,0.251
328,Descarga Bombeo,0.4,1.08,9.7,24.2,10.2,158.5,66.7,104.0,110.0,20.767,30.233,0.012,9.0,59,0.295,2.7385,0.083,3.0,134.26,15.01,5,45500,0.027,3.66,0.024259911894273126,0.092,2.764,0.06,1.13,0.295,0.274
329,Torre Superficial,0.7,1.89,8.7,21.9,9.0,131.83,55.8,100.4,30.0,2.709,30.233,0.005,13.0,17,0.258,2.7125,0.079,2.9,30.21,16.23,55,62533,0.024,3.511,0.009,0.012,2.984,0.06,1.248,0.258,0.253
330,Torre Media,0.7,1.89,7.4,20.43,5.2,73.83,51.0,147.3,20.0,106.546,30.233,0.005,13.0,8,0.477,2.6634,0.079,3.0,13.62,4.21,50,11533,0.023,3.151,0.061,0.472,2.908,0.06,1.33,0.477,0.352
331,Torre Profua,0.7,1.89,7.7,20.05,5.4,76.9,60.5,126.8,60.0,152.822,30.233,0.011,14.0,41,0.577,2.6857,0.096,3.6,7.7,13.45,18,12133,0.023,4.326,0.067,0.677,4.064,0.06,1.404,0.577,0.403
332,Presa,0.65,1.76,7.2,20.29,5.8,84.12,64.7,101.0,80.0,23.928,30.233,0.165,32.0,11,0.532,2.6568,0.149,5.6,23.69,5.75,10,98600,0.023,3.19,0.031,0.106,3.151,0.06,1.41,0.532,0.499
333,Potreros,0.68,1.84,8.8,22.17,8.0,118.5,53.9,131.2,50.0,11.287,30.233,0.008,15.0,16,0.265,2.7208,0.092,3.4,46.2,8.11,225,62667,0.023,3.348,0.01,0.05,2.864,0.06,1.215,0.265,0.251
334,PalmasEsp.Santo,0.7,1.89,8.9,21.9,8.7,127.83,56.2,108.9,40.0,6.321,30.233,0.003,15.0,17,0.262,2.7846,0.083,3.0,35.54,9.24,55,68933,0.023,3.468,0.005,0.028,2.959,0.06,1.254,0.262,0.254
335,Descarga Bombeo,0.63,1.7,9.2,22.57,9.4,140.2,55.0,254.8,80.0,1.354,30.233,0.006,14.0,61,0.217,2.8203,0.082,2.9,63.46,15.02,10,102100,0.023,3.17,0.024259911894273126,0.006,2.785,0.06,1.18,0.217,0.216
336,Torre Superficial,1.65,4.46,6.6,22.1,7.4,108.5,50.8,81.3,30.0,85.553,42.636,0.01,12.0,4,0.0,2.5587,0.082,3.2,7.11,2.01,349,0,0.02,2.711,0.022,0.379,2.487,0.055,1.241,0.3834052419354839,0.22347852760736198
337,Torre Media,1.65,4.46,6.5,20.4,6.4,91.25,61.7,87.4,90.0,144.018,63.566,0.018,13.0,6,0.0,2.2807,0.083,3.6,2.96,1.6,140,0,0.019,4.15,0.033,0.638,3.637,0.082,1.249,0.3834052419354839,0.22347852760736198
338,Torre Profua,1.65,4.46,6.4,18.93,3.3,45.53,62.8,106.9,40.0,116.253,208.527,0.074,13.0,7,0.0,2.396,0.086,3.6,0.59,0.65,10,0,0.019,3.23,0.09,0.515,3.1,0.269,1.333,0.3834052419354839,0.22347852760736198
339,Presa,1.42,3.84,6.3,19.85,4.3,61.54,59.5,22.2,60.0,57.111,283.721,0.146,13.0,8,0.0,2.497,0.106,4.2,4.15,2.07,520,0,0.015,2.974,0.029,0.253,2.474,0.366,1.376,0.3834052419354839,0.22347852760736198
340,Potreros,1.6,4.33,6.8,21.5,9.1,7.24,52.1,106.9,40.0,112.66989361926021,30.233,0.025,11.0,5,0.0,2.257207249070632,0.07452730696798493,3.3128544423440456,4.74,3.55,572,0,0.028784671532846716,3.3658929219600724,0.024259911894273126,0.5196979742173112,2.3961923774954625,0.06,0.951,0.3834052419354839,0.22347852760736198
341,PalmasEsp.Santo,1.7,4.6,6.8,21.43,7.2,103.63,60.0,98.1,40.0,117.607,58.915,0.005,11.0,6,0.0,2.3286,0.086,3.7,5.92,3.2,538,0,0.018,3.785,0.028,0.521,3.348,0.076,1.226,0.3834052419354839,0.22347852760736198
342,Descarga Bombeo,1.6,4.33,7.1,22.1,7.8,113.67,50.5,112.5,30.0,99.097,43.411,0.015,13.0,5,0.0,2.4384,0.076,3.1,7.11,5.33,605,0,0.021,2.803,0.023,0.439,2.539,0.056,1.248,0.3834052419354839,0.22347852760736198
343,Torre Superficial,1.66,4.49,7.0,21.5,7.6,109.6,50.79547920433997,31.8,10.0,166.14,30.233,0.004,14.0,5,0.0,2.2811,0.061,2.7,6.52,2.19,3118,949,0.017,3.273,0.02,0.736,2.51,0.06,1.176,0.3834052419354839,0.22347852760736198
344,Torre Media,1.66,4.49,6.7,19.97,6.1,85.77,62.5,56.4,20.0,265.914,30.233,0.006,16.0,12,0.0,2.3211,0.075,3.2,4.15,4.15,805,33,0.022,3.694,0.023,1.178,3.032,0.06,1.178,0.3834052419354839,0.22347852760736198
345,Torre Profua,1.66,4.49,6.8,18.7,5.4,74.45,78.5,64.5,20.0,254.402,30.233,0.029,17.0,12,0.0,2.2317,0.083,3.7,2.96,1.18,588,66,0.018,5.646,0.038,1.127,3.909,0.06,1.132,0.3834052419354839,0.22347852760736198
346,Presa,1.9,5.14,6.4,19.49,4.1,58.31,58.4,72.4,20.0,109.029,30.233,0.16,23.0,5,0.0,2.75,0.112,4.1,3.55,2.25,1343,666,0.021,2.885,0.025,0.483,2.12,0.06,1.306,0.3834052419354839,0.22347852760736198
347,Potreros,1.56,4.22,7.0,21.07,6.5,93.23,52.8,69.1,20.0,156.208,30.233,0.014,14.0,11,0.0,2.6708,0.081,3.0,3.55,3.49,1377,666,0.017,3.019,0.024,0.692,2.476,0.06,1.091,0.3834052419354839,0.22347852760736198
348,PalmasEsp.Santo,1.54,4.17,7.0,21.17,7.6,108.17,57.8,28.7,20.0,175.395,30.233,0.009,11.0,6,0.0,3.3556,0.076,2.3,4.74,3.14,2738,666,0.007,4.392,0.026,0.777,2.959,0.06,0.951,0.3834052419354839,0.22347852760736198
349,Descarga Bombeo,1.7,4.6,7.1,20.8,7.3,104.3,52.8,65.2,30.0,146.501,30.233,0.012,9.0,5,0.0,2.5213,0.073,2.9,4.74,3.55,2010,1133,0.02,2.836,0.026,0.649,2.315,0.06,1.146,0.3834052419354839,0.22347852760736198
350,Torre Superficial,3.58,9.68,6.8,21.45,7.6,111.35,58.4,55.4,10.0,239.503,25.581,0.008,8.0,1,0.0,2.5769,0.07,2.7,2.37,0.95,73,366,0.009,5.36,0.034,1.061,4.101,0.033,1.13,0.3834052419354839,0.22347852760736198
351,Torre Media,3.58,9.68,6.7,19.65,4.8,68.2,68.2,59.5,10.0,197.065,62.791,0.025,9.0,3,0.0,2.2879,0.063,2.7,5.33,1.72,131,66,0.011,4.175,0.034,0.873,3.229,0.081,1.16,0.3834052419354839,0.22347852760736198
352,Torre Profua,3.58,9.68,6.8,18.93,2.2,30.1,64.0,4.7,10.0,130.474,403.876,0.289,16.0,6,0.0,2.4211,0.083,3.4,0.59,2.67,71,66,0.012,3.292,0.031,0.578,2.524,0.521,1.49,0.3834052419354839,0.22347852760736198
353,Presa,3.3,8.93,6.6,19.69,5.3,76.32,58.9,71.9,20.0,144.695,338.76,0.169,27.0,4,0.0,2.481,0.128,5.2,7.7,2.25,191,666,0.008,4.136,0.027,0.641,3.08,0.437,1.37,0.3834052419354839,0.22347852760736198
354,Potreros,4.0,10.82,7.1,21.17,6.4,94.33,54.9,164.2,10.0,176.298,68.217,0.031,10.0,2,0.0,2.0337,0.068,3.3,1.78,2.78,71,666,0.01,3.923,0.034,0.781,3.084,0.088,1.14,0.3834052419354839,0.22347852760736198
355,PalmasEsp.Santo,3.12,8.44,7.0,20.83,7.1,102.9,68.2,158.9,10.0,210.609,35.659,0.028,5.0,3,0.0,2.2479,0.059,2.6,1.78,2.37,115,666,0.009,5.302,0.033,0.933,4.199,0.046,1.09,0.3834052419354839,0.22347852760736198
356,Descarga Bombeo,2.76,7.47,8.1,21.7,8.7,128.43,54.7,122.8,10.0,185.102,30.233,0.007,5.0,1,0.0,2.3353,0.059,2.5,1.18,3.38,76,666,0.01,3.815,0.035,0.82,3.046,0.06,1.15,0.3834052419354839,0.22347852760736198
357,Torre Superficial,1.85,5.0,8.9,22.13,9.1,133.5,57.7,39.9,20.0,112.66989361926021,30.233,0.01,9.0,3,0.0,2.257207249070632,0.07452730696798493,3.3128544423440456,8.89,9.77,6338,1733,0.028784671532846716,3.3658929219600724,0.024259911894273126,0.5196979742173112,2.3961923774954625,0.06,0.951,0.3834052419354839,0.22347852760736198
358,Torre Media,1.85,5.0,7.0,20.13,5.3,76.9,68.0,79.8,30.0,112.66989361926021,30.233,0.011,12.0,8,0.0,2.257207249070632,0.07452730696798493,3.3128544423440456,7.7,22.57,1831,353,0.028784671532846716,3.3658929219600724,0.024259911894273126,0.5196979742173112,2.3961923774954625,0.06,0.951,0.3834052419354839,0.22347852760736198
359,Torre Profua,1.85,5.0,6.9,19.1,1.4,20.0,61.2,49.8,70.0,112.66989361926021,30.233,0.016,14.0,59,0.0,2.257207249070632,0.07452730696798493,3.3128544423440456,1.18,5.33,38,66,0.028784671532846716,3.3658929219600724,0.024259911894273126,0.5196979742173112,2.3961923774954625,0.06,0.951,0.3834052419354839,0.22347852760736198
360,Presa,1.4,3.79,7.7,20.24,5.6,82.35,68.9,45.9,30.0,112.66989361926021,30.233,0.138,30.0,5,0.0,2.257207249070632,0.07452730696798493,3.3128544423440456,7.11,17.36,6670,927,0.028784671532846716,3.3658929219600724,0.024259911894273126,0.5196979742173112,2.3961923774954625,0.06,0.951,0.3834052419354839,0.22347852760736198
361,Potreros,1.42,3.84,8.4,21.73,7.8,115.47,57.2,128.0,20.0,112.66989361926021,30.233,0.03,12.0,3,0.0,2.257207249070632,0.07452730696798493,3.3128544423440456,2.96,19.84,3825,1533,0.028784671532846716,3.3658929219600724,0.024259911894273126,0.5196979742173112,2.3961923774954625,0.06,0.951,0.3834052419354839,0.22347852760736198
362,PalmasEsp.Santo,1.48,4.0,8.4,21.87,8.3,123.43,67.2,107.1,30.0,112.66989361926021,30.233,0.011,11.0,13,0.0,2.257207249070632,0.07452730696798493,3.3128544423440456,5.92,4.44,3905,1794,0.028784671532846716,3.3658929219600724,0.024259911894273126,0.5196979742173112,2.3961923774954625,0.06,0.951,0.3834052419354839,0.22347852760736198
363,Descarga Bombeo,1.4,3.79,9.2,21.67,9.7,145.17,58.0,113.0,40.0,112.66989361926021,30.233,0.014,17.0,8,0.0,2.257207249070632,0.07452730696798493,3.3128544423440456,11.25,6.99,7520,1533,0.028784671532846716,3.3658929219600724,0.024259911894273126,0.5196979742173112,2.3961923774954625,0.06,0.951,0.3834052419354839,0.22347852760736198
364,Torre Superficial,2.0,5.41,6.8,21.4,6.5,95.3,52.2,155.6,20.0,197.517,26.357,0.01,9.0,3,0.0,2.1988,0.073,3.3,2.96,7.82,3905,544,0.034,4.022,0.027,0.875,2.772,0.034,1.438,0.3834052419354839,0.22347852760736198
365,Torre Media,2.0,5.41,6.7,19.97,5.5,79.17,54.1,152.7,30.0,228.442,36.434,0.011,12.0,8,0.0,2.328,0.079,3.4,2.96,5.75,1453,366,0.033,3.977,0.029,1.012,2.718,0.047,1.568,0.3834052419354839,0.22347852760736198
366,Torre Profua,2.0,5.41,6.9,19.17,5.9,83.57,63.1,119.2,70.0,233.409,31.008,0.016,14.0,59,0.0,2.5027,0.107,4.3,1.78,4.86,1827,166,0.037,5.029,0.032,1.034,3.753,0.04,1.432,0.3834052419354839,0.22347852760736198
367,Presa,2.1,5.68,6.5,19.7,4.9,69.49,69.5,30.7,30.0,191.196,138.76,0.138,30.0,5,0.0,2.5986,0.156,6.0,3.55,3.08,3220,633,0.033,3.844,0.027,0.847,2.36,0.179,1.787,0.3834052419354839,0.22347852760736198
368,Potreros,1.92,5.19,6.9,21.17,5.7,83.97,51.2,159.7,20.0,184.199,38.76,0.029,12.0,3,0.0,2.1771,0.087,4.0,2.96,4.92,3605,633,0.035,3.677,0.028,0.816,2.548,0.05,1.448,0.3834052419354839,0.22347852760736198
369,PalmasEsp.Santo,1.5,4.06,7.0,21.87,6.7,99.03,56.1,161.1,30.0,173.589,30.233,0.011,11.0,13,0.0,2.2759,0.079,3.5,7.7,0.59,2905,633,0.03,4.604,0.027,0.769,3.109,0.06,1.263,0.3834052419354839,0.22347852760736198
370,Descarga Bombeo,2.0,5.41,7.0,20.7,6.8,97.9,49.8,191.9,40.0,206.772,27.907,0.014,17.0,8,0.0,2.9369,0.11,3.8,5.92,5.27,2505,633,0.035,3.576,0.029,0.916,2.582,0.036,1.597,0.3834052419354839,0.22347852760736198
